file,gps_week,gps_tow_s,constellation,prn,elevation_deg,azimuth_deg,snr_dbhz,has_signal
0703002-0918-15-32-gnss_raw.txt,2436,458589.000,GPS,26,0.0,0.0,32.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458589.000,GPS,31,0.0,0.0,34.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458589.000,GPS,32,0.0,0.0,34.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458589.000,Galileo,21,0.0,0.0,36.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458589.000,QZSS,2,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458590.000,GPS,26,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458590.000,GPS,31,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458590.000,GPS,32,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458590.000,Galileo,21,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458590.000,QZSS,2,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458591.000,GPS,26,0.0,0.0,31.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458591.000,GPS,31,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458591.000,GPS,32,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458591.000,Galileo,21,0.0,0.0,36.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458591.000,QZSS,2,0.0,0.0,32.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458592.000,GPS,26,0.0,0.0,31.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458592.000,GPS,31,0.0,0.0,34.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458592.000,GPS,32,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458592.000,Galileo,21,0.0,0.0,34.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458592.000,QZSS,2,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458593.000,GPS,26,0.0,0.0,32.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458593.000,GPS,31,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458593.000,GPS,32,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458593.000,Galileo,21,0.0,0.0,34.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458593.000,QZSS,2,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458594.000,GPS,26,0.0,0.0,32.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458594.000,GPS,31,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458594.000,GPS,32,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458594.000,Galileo,21,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458594.000,QZSS,2,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458595.000,GPS,26,0.0,0.0,32.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458595.000,GPS,31,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458595.000,GPS,32,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458595.000,Galileo,21,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458595.000,QZSS,2,0.0,0.0,30.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458596.000,GPS,26,0.0,0.0,31.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458596.000,GPS,31,0.0,0.0,33.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458596.000,GPS,32,0.0,0.0,35.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458596.000,Galileo,21,0.0,0.0,34.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458596.000,QZSS,2,0.0,0.0,30.0,是
0703002-0918-15-32-gnss_raw.txt,2436,458597.000,GPS,26,0.0,0.0,32.0,是
